Note(start=0.625000, end=1.259766, pitch=65, velocity=39)
Note(start=0.625000, end=1.259766, pitch=65, velocity=48)
Note(start=0.625000, end=1.259766, pitch=68, velocity=39)
Note(start=0.625000, end=1.259766, pitch=68, velocity=48)
Note(start=1.250000, end=3.208330, pitch=77, velocity=61)
Note(start=1.250000, end=3.251733, pitch=80, velocity=61)
Note(start=3.208330, end=5.294405, pitch=73, velocity=46)
Note(start=3.208330, end=5.294405, pitch=77, velocity=46)
Note(start=5.401312, end=5.873696, pitch=72, velocity=45)
Note(start=5.401312, end=5.873696, pitch=75, velocity=45)
Note(start=5.866428, end=6.337554, pitch=73, velocity=49)
Note(start=5.866428, end=6.337554, pitch=77, velocity=49)
Note(start=4.874997, end=8.639235, pitch=66, velocity=55)
Note(start=4.874997, end=8.639235, pitch=69, velocity=55)
Note(start=6.331544, end=8.909416, pitch=72, velocity=51)
Note(start=6.331544, end=8.909416, pitch=75, velocity=51)
Note(start=9.055900, end=9.479077, pitch=70, velocity=46)
Note(start=9.055900, end=9.479077, pitch=73, velocity=46)
Note(start=9.472567, end=9.895743, pitch=72, velocity=45)
Note(start=9.472567, end=9.895743, pitch=75, velocity=45)
Note(start=9.889233, end=10.523997, pitch=73, velocity=46)
Note(start=10.514232, end=11.787016, pitch=77, velocity=53)
Note(start=8.639235, end=12.389229, pitch=65, velocity=51)
Note(start=8.639235, end=12.389229, pitch=68, velocity=51)
Note(start=11.764230, end=12.799767, pitch=73, velocity=46)
Note(start=9.889233, end=12.833468, pitch=70, velocity=43)
Note(start=12.781385, end=13.179669, pitch=68, velocity=46)
Note(start=12.781385, end=13.179669, pitch=72, velocity=46)
Note(start=13.173542, end=13.571825, pitch=70, velocity=48)
Note(start=13.173542, end=13.571825, pitch=73, velocity=48)
Note(start=13.565698, end=15.778825, pitch=68, velocity=47)
Note(start=12.389229, end=15.896013, pitch=63, velocity=48)
Note(start=12.389229, end=15.896013, pitch=66, velocity=48)
Note(start=13.565698, end=16.145411, pitch=72, velocity=43)
Note(start=16.280628, end=16.671252, pitch=70, velocity=50)
Note(start=16.665243, end=17.055867, pitch=72, velocity=58)
Note(start=17.049858, end=17.440260, pitch=70, velocity=50)
Note(start=17.434473, end=17.810629, pitch=75, velocity=58)
Note(start=15.896013, end=18.175212, pitch=66, velocity=48)
Note(start=15.896013, end=18.175212, pitch=63, velocity=46)
Note(start=15.896013, end=18.175212, pitch=61, velocity=40)
Note(start=17.804842, end=18.180999, pitch=70, velocity=48)
Note(start=18.175212, end=18.551368, pitch=68, velocity=41)
Note(start=18.545581, end=18.921738, pitch=70, velocity=49)
Note(start=18.175212, end=19.286320, pitch=63, velocity=50)
