Note(start=1.500000, end=2.250000, pitch=68, velocity=29)
Note(start=0.000000, end=2.998438, pitch=52, velocity=20)
Note(start=2.993750, end=2.998438, pitch=52, velocity=28)
Note(start=0.000000, end=2.998438, pitch=45, velocity=22)
Note(start=0.000000, end=2.998438, pitch=56, velocity=26)
Note(start=0.004167, end=3.002604, pitch=61, velocity=25)
Note(start=2.257812, end=3.006250, pitch=68, velocity=22)
Note(start=4.502604, end=5.252604, pitch=68, velocity=25)
Note(start=2.994792, end=5.992188, pitch=44, velocity=25)
Note(start=2.997396, end=5.994792, pitch=59, velocity=22)
Note(start=7.493229, end=8.243750, pitch=68, velocity=27)
Note(start=8.242188, end=8.243750, pitch=68, velocity=28)
Note(start=5.988542, end=8.985938, pitch=56, velocity=25)
Note(start=5.998958, end=8.996354, pitch=61, velocity=26)
Note(start=5.998958, end=8.996354, pitch=45, velocity=27)
Note(start=6.006771, end=9.004167, pitch=52, velocity=21)
Note(start=8.996354, end=9.004167, pitch=52, velocity=23)
Note(start=9.984375, end=10.482812, pitch=68, velocity=28)
Note(start=10.504167, end=10.752604, pitch=68, velocity=24)
Note(start=11.002604, end=11.251563, pitch=68, velocity=24)
Note(start=11.254167, end=11.502604, pitch=68, velocity=20)
Note(start=11.504167, end=11.752604, pitch=71, velocity=26)
Note(start=11.744792, end=11.993750, pitch=69, velocity=21)
Note(start=9.001563, end=12.000000, pitch=44, velocity=29)
Note(start=9.005208, end=12.004167, pitch=59, velocity=29)
Note(start=11.993750, end=12.243750, pitch=45, velocity=22)
Note(start=11.994792, end=12.244792, pitch=52, velocity=29)
Note(start=12.255208, end=12.379167, pitch=71, velocity=24)
Note(start=12.379167, end=12.502604, pitch=69, velocity=26)
Note(start=12.009375, end=12.507812, pitch=80, velocity=23)
Note(start=12.496354, end=12.744792, pitch=68, velocity=22)
Note(start=12.501563, end=12.750000, pitch=81, velocity=20)
Note(start=12.740625, end=12.989583, pitch=80, velocity=22)
Note(start=13.000000, end=13.123437, pitch=71, velocity=26)
Note(start=13.127604, end=13.251563, pitch=69, velocity=24)
Note(start=13.235938, end=13.484375, pitch=68, velocity=23)
Note(start=13.254167, end=13.504167, pitch=81, velocity=26)
Note(start=13.497396, end=13.746354, pitch=80, velocity=24)
Note(start=13.754167, end=13.877604, pitch=71, velocity=27)
Note(start=13.877604, end=14.001563, pitch=69, velocity=27)
Note(start=13.994792, end=14.243750, pitch=68, velocity=25)
Note(start=14.000000, end=14.248437, pitch=81, velocity=22)
Note(start=14.238542, end=14.486979, pitch=80, velocity=28)
Note(start=14.250000, end=14.498437, pitch=68, velocity=30)
Note(start=14.997396, end=15.246354, pitch=44, velocity=27)
Note(start=15.002604, end=15.251563, pitch=52, velocity=29)
Note(start=15.239583, end=15.363542, pitch=71, velocity=29)
Note(start=15.361979, end=15.485938, pitch=69, velocity=24)
Note(start=14.988542, end=15.486979, pitch=80, velocity=24)
Note(start=15.486979, end=15.734375, pitch=68, velocity=25)
Note(start=15.492188, end=15.740625, pitch=81, velocity=21)
Note(start=15.746354, end=15.994792, pitch=80, velocity=27)
Note(start=15.992188, end=16.116146, pitch=71, velocity=28)
Note(start=16.111979, end=16.235417, pitch=69, velocity=27)
Note(start=16.244792, end=16.493229, pitch=68, velocity=24)
Note(start=16.258854, end=16.507812, pitch=81, velocity=21)
Note(start=16.493229, end=16.742188, pitch=80, velocity=23)
Note(start=16.744792, end=16.868229, pitch=71, velocity=23)
Note(start=16.868229, end=16.992188, pitch=69, velocity=30)
Note(start=16.985417, end=17.234375, pitch=68, velocity=29)
Note(start=16.992188, end=17.241146, pitch=81, velocity=28)
Note(start=17.236979, end=17.485417, pitch=68, velocity=24)
Note(start=17.236979, end=17.485417, pitch=80, velocity=21)
Note(start=17.988542, end=18.236979, pitch=52, velocity=22)
Note(start=18.001042, end=18.250000, pitch=45, velocity=21)
Note(start=18.252604, end=18.376042, pitch=71, velocity=22)
Note(start=18.364583, end=18.488542, pitch=69, velocity=28)
Note(start=18.004167, end=18.502604, pitch=80, velocity=29)
Note(start=18.493229, end=18.742188, pitch=68, velocity=25)
Note(start=18.506771, end=18.755208, pitch=81, velocity=29)
Note(start=18.741146, end=18.989583, pitch=80, velocity=28)
Note(start=18.991146, end=19.114583, pitch=71, velocity=20)
Note(start=19.125000, end=19.250000, pitch=69, velocity=23)
Note(start=19.238542, end=19.488542, pitch=68, velocity=25)
Note(start=19.257812, end=19.506771, pitch=81, velocity=25)
Note(start=19.504167, end=19.754167, pitch=80, velocity=28)
Note(start=19.750000, end=19.873958, pitch=71, velocity=24)
Note(start=19.861979, end=19.985417, pitch=69, velocity=22)
Note(start=19.994792, end=20.243229, pitch=68, velocity=28)
Note(start=19.994792, end=20.243229, pitch=81, velocity=22)
Note(start=20.251042, end=20.500000, pitch=80, velocity=28)
Note(start=20.494792, end=20.743229, pitch=68, velocity=26)
Note(start=20.756771, end=21.004167, pitch=68, velocity=24)
Note(start=20.989583, end=21.236979, pitch=44, velocity=28)
Note(start=20.997396, end=21.246354, pitch=52, velocity=27)
Note(start=21.235417, end=21.360417, pitch=71, velocity=25)
Note(start=20.996354, end=21.496354, pitch=80, velocity=25)
Note(start=21.376042, end=21.501042, pitch=69, velocity=21)
Note(start=21.492188, end=21.741146, pitch=68, velocity=29)
Note(start=21.497396, end=21.744792, pitch=81, velocity=27)
Note(start=21.739583, end=21.986979, pitch=80, velocity=28)
