Note(start=1.300000, end=2.647727, pitch=67, velocity=80)
Note(start=2.390909, end=3.365909, pitch=69, velocity=80)
Note(start=3.402273, end=4.109091, pitch=71, velocity=80)
Note(start=3.286364, end=4.168182, pitch=48, velocity=80)
Note(start=3.784091, end=4.575000, pitch=59, velocity=80)
Note(start=3.795455, end=4.586364, pitch=55, velocity=80)
Note(start=4.238636, end=4.679545, pitch=69, velocity=80)
Note(start=4.620455, end=5.038636, pitch=60, velocity=80)
Note(start=5.027273, end=5.352273, pitch=71, velocity=80)
Note(start=4.643182, end=5.411364, pitch=64, velocity=80)
Note(start=4.597727, end=5.434091, pitch=48, velocity=80)
Note(start=5.422727, end=5.606818, pitch=71, velocity=80)
Note(start=5.456818, end=5.618182, pitch=67, velocity=80)
Note(start=5.015909, end=5.711364, pitch=59, velocity=80)
Note(start=4.979545, end=5.722727, pitch=55, velocity=80)
Note(start=5.886364, end=6.513636, pitch=71, velocity=80)
Note(start=5.863636, end=6.640909, pitch=48, velocity=80)
Note(start=6.222727, end=6.988636, pitch=57, velocity=80)
Note(start=6.256818, end=7.047727, pitch=54, velocity=80)
Note(start=6.652273, end=7.081818, pitch=69, velocity=80)
Note(start=7.093182, end=7.615909, pitch=62, velocity=80)
Note(start=7.011364, end=7.650000, pitch=47, velocity=80)
Note(start=7.429545, end=7.802273, pitch=69, velocity=80)
Note(start=7.870455, end=8.068182, pitch=69, velocity=80)
Note(start=7.440909, end=8.161364, pitch=57, velocity=80)
Note(start=7.440909, end=8.209091, pitch=54, velocity=80)
Note(start=7.859091, end=8.231818, pitch=66, velocity=80)
Note(start=8.265909, end=8.765909, pitch=57, velocity=80)
Note(start=8.613636, end=8.963636, pitch=64, velocity=80)
Note(start=8.243182, end=9.009091, pitch=67, velocity=80)
Note(start=8.243182, end=9.020455, pitch=45, velocity=80)
Note(start=8.590909, end=9.393182, pitch=52, velocity=80)
Note(start=8.590909, end=9.404545, pitch=55, velocity=80)
Note(start=9.043182, end=9.427273, pitch=64, velocity=80)
Note(start=9.438636, end=10.136364, pitch=66, velocity=80)
Note(start=9.868182, end=10.170455, pitch=62, velocity=80)
Note(start=9.450000, end=10.181818, pitch=43, velocity=80)
Note(start=9.845455, end=10.215909, pitch=50, velocity=80)
Note(start=10.309091, end=10.506818, pitch=50, velocity=80)
Note(start=9.845455, end=10.600000, pitch=54, velocity=80)
Note(start=10.240909, end=10.634091, pitch=64, velocity=80)
Note(start=11.040909, end=11.134091, pitch=64, velocity=80)
Note(start=10.645455, end=11.320455, pitch=67, velocity=80)
Note(start=10.659091, end=11.354545, pitch=57, velocity=80)
Note(start=10.634091, end=11.400000, pitch=45, velocity=80)
