Note(start=0.000000, end=0.130435, pitch=62, velocity=81)
Note(start=0.130435, end=0.260870, pitch=62, velocity=82)
Note(start=0.260870, end=0.521740, pitch=74, velocity=82)
Note(start=0.521740, end=0.913045, pitch=69, velocity=82)
Note(start=0.913045, end=1.173915, pitch=68, velocity=82)
Note(start=1.173915, end=1.434785, pitch=67, velocity=82)
Note(start=1.434785, end=1.695655, pitch=65, velocity=82)
Note(start=1.695655, end=1.826090, pitch=62, velocity=82)
Note(start=1.826090, end=1.956525, pitch=65, velocity=82)
Note(start=1.956525, end=2.086960, pitch=67, velocity=82)
Note(start=2.086960, end=2.217395, pitch=60, velocity=82)
Note(start=2.217395, end=2.347830, pitch=60, velocity=82)
Note(start=2.347830, end=2.608700, pitch=74, velocity=82)
Note(start=2.608700, end=3.000005, pitch=69, velocity=82)
Note(start=3.000005, end=3.260875, pitch=68, velocity=82)
Note(start=3.260875, end=3.521745, pitch=67, velocity=82)
Note(start=3.521745, end=3.782615, pitch=65, velocity=82)
Note(start=3.782615, end=3.913050, pitch=62, velocity=82)
Note(start=3.913050, end=4.043485, pitch=65, velocity=82)
Note(start=4.043485, end=4.173920, pitch=67, velocity=82)
Note(start=4.173920, end=4.304355, pitch=59, velocity=82)
Note(start=4.304355, end=4.434790, pitch=59, velocity=82)
Note(start=4.434790, end=4.695660, pitch=74, velocity=82)
Note(start=4.695660, end=5.086965, pitch=69, velocity=82)
Note(start=5.086965, end=5.347835, pitch=68, velocity=82)
Note(start=5.347835, end=5.608705, pitch=67, velocity=82)
Note(start=5.608705, end=5.869575, pitch=65, velocity=82)
Note(start=5.869575, end=6.000010, pitch=62, velocity=82)
Note(start=6.000010, end=6.130445, pitch=65, velocity=82)
Note(start=6.130445, end=6.260880, pitch=67, velocity=82)
Note(start=6.260880, end=6.391315, pitch=58, velocity=82)
Note(start=6.391315, end=6.521750, pitch=58, velocity=82)
Note(start=6.521750, end=6.782620, pitch=74, velocity=82)
Note(start=6.782620, end=7.173925, pitch=69, velocity=82)
Note(start=7.173925, end=7.434795, pitch=68, velocity=82)
Note(start=7.434795, end=7.695665, pitch=67, velocity=82)
Note(start=7.695665, end=7.956535, pitch=65, velocity=82)
Note(start=7.956535, end=8.086970, pitch=62, velocity=82)
Note(start=8.086970, end=8.217405, pitch=65, velocity=82)
Note(start=8.217405, end=8.347840, pitch=67, velocity=82)
Note(start=8.347840, end=8.478275, pitch=62, velocity=82)
Note(start=8.478275, end=8.608710, pitch=62, velocity=82)
Note(start=8.608710, end=8.869580, pitch=74, velocity=82)
Note(start=8.869580, end=9.260885, pitch=69, velocity=82)
Note(start=9.260885, end=9.521755, pitch=68, velocity=82)
Note(start=9.521755, end=9.782625, pitch=67, velocity=82)
Note(start=9.782625, end=10.043495, pitch=65, velocity=82)
Note(start=10.043495, end=10.173930, pitch=62, velocity=82)
Note(start=10.173930, end=10.304365, pitch=65, velocity=82)
Note(start=10.304365, end=10.434800, pitch=67, velocity=82)
Note(start=10.434800, end=10.565235, pitch=60, velocity=82)
Note(start=10.565235, end=10.695670, pitch=60, velocity=82)
Note(start=10.695670, end=10.956540, pitch=74, velocity=82)
Note(start=10.956540, end=11.347845, pitch=69, velocity=82)
Note(start=11.347845, end=11.608715, pitch=68, velocity=82)
Note(start=11.608715, end=11.869585, pitch=67, velocity=82)
Note(start=11.869585, end=12.130455, pitch=65, velocity=82)
Note(start=12.130455, end=12.260890, pitch=62, velocity=82)
Note(start=12.260890, end=12.391325, pitch=65, velocity=82)
Note(start=12.391325, end=12.521760, pitch=67, velocity=82)
Note(start=12.521760, end=12.652195, pitch=59, velocity=82)
Note(start=12.652195, end=12.782630, pitch=59, velocity=82)
Note(start=12.782630, end=13.043500, pitch=74, velocity=82)
Note(start=13.043500, end=13.434805, pitch=69, velocity=82)
Note(start=13.434805, end=13.695675, pitch=68, velocity=82)
Note(start=13.695675, end=13.956545, pitch=67, velocity=82)
Note(start=13.956545, end=14.217415, pitch=65, velocity=82)
Note(start=14.217415, end=14.347850, pitch=62, velocity=82)
Note(start=14.347850, end=14.478285, pitch=65, velocity=82)
Note(start=14.478285, end=14.608720, pitch=67, velocity=82)
Note(start=14.608720, end=14.739155, pitch=58, velocity=82)
Note(start=14.739155, end=14.869590, pitch=58, velocity=82)
Note(start=14.869590, end=15.130460, pitch=74, velocity=82)
Note(start=15.130460, end=15.521765, pitch=69, velocity=82)
Note(start=15.521765, end=15.782635, pitch=68, velocity=82)
Note(start=15.782635, end=16.043505, pitch=67, velocity=82)
Note(start=16.043505, end=16.304375, pitch=65, velocity=82)
Note(start=16.304375, end=16.434810, pitch=62, velocity=82)
Note(start=16.434810, end=16.565245, pitch=65, velocity=82)
Note(start=16.565245, end=16.695680, pitch=67, velocity=82)
Note(start=16.695680, end=16.826115, pitch=74, velocity=92)
Note(start=16.826115, end=16.956550, pitch=74, velocity=92)
Note(start=16.956550, end=17.217420, pitch=86, velocity=92)
Note(start=17.217420, end=17.608725, pitch=81, velocity=92)
Note(start=17.608725, end=17.869595, pitch=80, velocity=92)
Note(start=17.869595, end=18.130465, pitch=79, velocity=92)
Note(start=18.130465, end=18.391335, pitch=77, velocity=92)
