Note(start=0.279545, end=1.777273, pitch=67, velocity=80)
Note(start=1.404545, end=2.450000, pitch=69, velocity=80)
Note(start=2.845455, end=3.122727, pitch=67, velocity=80)
Note(start=2.402273, end=3.193182, pitch=71, velocity=80)
Note(start=2.356818, end=3.204545, pitch=48, velocity=80)
Note(start=3.250000, end=3.365909, pitch=74, velocity=80)
Note(start=2.797727, end=3.600000, pitch=59, velocity=80)
Note(start=3.238636, end=3.668182, pitch=69, velocity=80)
Note(start=3.600000, end=3.704545, pitch=76, velocity=80)
Note(start=2.763636, end=3.809091, pitch=55, velocity=80)
Note(start=3.645455, end=3.981818, pitch=67, velocity=80)
Note(start=3.993182, end=4.179545, pitch=40, velocity=80)
Note(start=3.575000, end=4.422727, pitch=48, velocity=80)
Note(start=4.422727, end=4.643182, pitch=67, velocity=80)
Note(start=3.575000, end=4.747727, pitch=64, velocity=80)
Note(start=3.981818, end=4.795455, pitch=59, velocity=80)
Note(start=3.981818, end=4.922727, pitch=55, velocity=80)
Note(start=4.840909, end=5.188636, pitch=67, velocity=80)
Note(start=4.806818, end=5.538636, pitch=71, velocity=80)
Note(start=5.213636, end=5.584091, pitch=54, velocity=80)
Note(start=4.747727, end=5.606818, pitch=48, velocity=80)
Note(start=5.631818, end=5.711364, pitch=81, velocity=80)
Note(start=5.643182, end=6.036364, pitch=54, velocity=80)
Note(start=5.202273, end=6.047727, pitch=57, velocity=80)
Note(start=5.631818, end=6.061364, pitch=69, velocity=80)
Note(start=6.036364, end=6.477273, pitch=74, velocity=80)
Note(start=6.025000, end=6.490909, pitch=66, velocity=80)
Note(start=6.002273, end=6.547727, pitch=47, velocity=80)
Note(start=6.397727, end=6.559091, pitch=54, velocity=80)
Note(start=6.002273, end=6.570455, pitch=62, velocity=80)
Note(start=6.361364, end=6.606818, pitch=57, velocity=80)
Note(start=6.804545, end=7.129545, pitch=66, velocity=80)
Note(start=6.804545, end=7.186364, pitch=54, velocity=80)
Note(start=6.790909, end=7.209091, pitch=57, velocity=80)
Note(start=7.209091, end=7.929545, pitch=67, velocity=80)
Note(start=7.152273, end=7.952273, pitch=45, velocity=80)
Note(start=7.581818, end=8.347727, pitch=52, velocity=80)
Note(start=7.534091, end=8.359091, pitch=55, velocity=80)
Note(start=7.963636, end=8.393182, pitch=64, velocity=80)
Note(start=8.347727, end=8.938636, pitch=66, velocity=80)
Note(start=8.800000, end=8.975000, pitch=69, velocity=80)
Note(start=8.811364, end=9.031818, pitch=55, velocity=80)
Note(start=8.359091, end=9.090909, pitch=43, velocity=80)
Note(start=9.195455, end=9.311364, pitch=69, velocity=80)
Note(start=9.172727, end=9.334091, pitch=76, velocity=80)
Note(start=8.777273, end=9.520455, pitch=54, velocity=80)
Note(start=8.731818, end=9.636364, pitch=50, velocity=80)
Note(start=9.147727, end=9.729545, pitch=64, velocity=80)
Note(start=9.520455, end=9.995455, pitch=67, velocity=80)
Note(start=9.520455, end=10.309091, pitch=45, velocity=80)
Note(start=10.356818, end=10.565909, pitch=76, velocity=80)
Note(start=9.938636, end=10.704545, pitch=52, velocity=80)
Note(start=10.331818, end=10.704545, pitch=64, velocity=80)
Note(start=9.890909, end=10.715909, pitch=55, velocity=80)
Note(start=10.727273, end=11.168182, pitch=66, velocity=80)
Note(start=11.145455, end=11.238636, pitch=79, velocity=80)
Note(start=11.122727, end=11.309091, pitch=55, velocity=80)
Note(start=10.693182, end=11.377273, pitch=43, velocity=80)
Note(start=11.122727, end=11.470455, pitch=67, velocity=80)
Note(start=11.075000, end=11.888636, pitch=54, velocity=80)
Note(start=11.504545, end=11.911364, pitch=69, velocity=80)
Note(start=11.040909, end=11.922727, pitch=50, velocity=80)
Note(start=11.922727, end=12.597727, pitch=71, velocity=80)
Note(start=11.888636, end=12.688636, pitch=48, velocity=80)
Note(start=12.725000, end=12.840909, pitch=74, velocity=80)
Note(start=12.702273, end=13.061364, pitch=59, velocity=80)
Note(start=12.725000, end=13.106818, pitch=69, velocity=80)
Note(start=12.236364, end=13.259091, pitch=55, velocity=80)
Note(start=13.072727, end=13.456818, pitch=67, velocity=80)
Note(start=13.027273, end=13.804545, pitch=48, velocity=80)
Note(start=13.095455, end=14.163636, pitch=64, velocity=80)
Note(start=13.445455, end=14.268182, pitch=59, velocity=80)
Note(start=13.397727, end=14.290909, pitch=55, velocity=80)
Note(start=14.245455, end=14.918182, pitch=71, velocity=80)
Note(start=14.222727, end=15.011364, pitch=48, velocity=80)
Note(start=15.034091, end=15.406818, pitch=69, velocity=80)
Note(start=14.604545, end=15.452273, pitch=57, velocity=80)
Note(start=14.629545, end=15.463636, pitch=54, velocity=80)
Note(start=15.802273, end=15.893182, pitch=69, velocity=80)
Note(start=15.452273, end=15.963636, pitch=74, velocity=80)
Note(start=15.452273, end=16.022727, pitch=66, velocity=80)
Note(start=15.440909, end=16.102273, pitch=62, velocity=80)
Note(start=15.418182, end=16.127273, pitch=47, velocity=80)
Note(start=15.777273, end=16.531818, pitch=57, velocity=80)
Note(start=16.161364, end=16.531818, pitch=66, velocity=80)
Note(start=15.802273, end=16.579545, pitch=54, velocity=80)
Note(start=16.543182, end=16.950000, pitch=67, velocity=80)
Note(start=16.927273, end=17.043182, pitch=40, velocity=80)
Note(start=16.531818, end=17.229545, pitch=45, velocity=80)
Note(start=17.286364, end=17.379545, pitch=76, velocity=80)
Note(start=17.275000, end=17.625000, pitch=64, velocity=80)
Note(start=16.904545, end=17.647727, pitch=52, velocity=80)
Note(start=16.845455, end=17.647727, pitch=55, velocity=80)
Note(start=18.065909, end=18.111364, pitch=69, velocity=80)
Note(start=17.659091, end=18.181818, pitch=66, velocity=80)
Note(start=17.600000, end=18.354545, pitch=43, velocity=80)
Note(start=18.402273, end=18.656818, pitch=76, velocity=80)
Note(start=18.029545, end=18.727273, pitch=54, velocity=80)
Note(start=18.029545, end=18.795455, pitch=50, velocity=80)
Note(start=18.390909, end=18.843182, pitch=64, velocity=80)
Note(start=18.772727, end=19.190909, pitch=67, velocity=80)
Note(start=18.761364, end=19.504545, pitch=45, velocity=80)
Note(start=19.552273, end=19.725000, pitch=76, velocity=80)
Note(start=19.086364, end=20.050000, pitch=52, velocity=80)
Note(start=19.063636, end=20.072727, pitch=55, velocity=80)
Note(start=19.527273, end=20.120455, pitch=64, velocity=80)
Note(start=20.131818, end=20.202273, pitch=78, velocity=80)
Note(start=20.086364, end=20.897727, pitch=50, velocity=80)
Note(start=20.027273, end=21.050000, pitch=38, velocity=80)
Note(start=20.097727, end=21.177273, pitch=66, velocity=80)
Note(start=22.104545, end=22.395455, pitch=79, velocity=80)
Note(start=22.059091, end=22.675000, pitch=74, velocity=80)
Note(start=22.743182, end=23.011364, pitch=74, velocity=80)
Note(start=22.104545, end=23.325000, pitch=67, velocity=80)
Note(start=22.047727, end=23.509091, pitch=55, velocity=80)
Note(start=22.047727, end=23.522727, pitch=62, velocity=80)
Note(start=22.731818, end=23.940909, pitch=69, velocity=80)
Note(start=23.893182, end=24.995455, pitch=66, velocity=80)
Note(start=24.472727, end=25.215909, pitch=50, velocity=80)
