Note(start=1.134375, end=3.115625, pitch=67, velocity=54)
Note(start=2.233333, end=3.235417, pitch=69, velocity=36)
Note(start=3.216667, end=3.856771, pitch=71, velocity=69)
Note(start=3.631250, end=3.889583, pitch=59, velocity=38)
Note(start=3.156771, end=3.894271, pitch=48, velocity=60)
Note(start=3.629167, end=3.907292, pitch=55, velocity=35)
Note(start=4.048958, end=4.305208, pitch=59, velocity=44)
Note(start=4.050000, end=4.332813, pitch=55, velocity=43)
Note(start=4.079167, end=4.407813, pitch=69, velocity=51)
Note(start=4.866667, end=5.114063, pitch=55, velocity=56)
Note(start=4.859896, end=5.119271, pitch=59, velocity=52)
Note(start=5.273438, end=5.488542, pitch=55, velocity=54)
Note(start=4.488542, end=5.506771, pitch=64, velocity=46)
Note(start=4.439583, end=5.516667, pitch=48, velocity=38)
Note(start=5.265104, end=5.518229, pitch=59, velocity=57)
Note(start=5.691146, end=6.289062, pitch=71, velocity=57)
Note(start=6.070312, end=6.350000, pitch=57, velocity=52)
Note(start=6.113542, end=6.367188, pitch=54, velocity=29)
Note(start=5.700521, end=6.379167, pitch=48, velocity=64)
Note(start=6.492708, end=6.715625, pitch=57, velocity=55)
Note(start=6.490104, end=6.792708, pitch=54, velocity=34)
Note(start=6.494271, end=6.810417, pitch=69, velocity=50)
Note(start=6.936458, end=7.350000, pitch=62, velocity=60)
Note(start=6.875000, end=7.433854, pitch=47, velocity=46)
Note(start=7.295833, end=7.524479, pitch=57, velocity=46)
Note(start=7.270833, end=7.527083, pitch=69, velocity=46)
Note(start=7.323958, end=7.570312, pitch=54, velocity=31)
Note(start=7.688021, end=7.880729, pitch=57, velocity=44)
Note(start=7.697917, end=7.926563, pitch=54, velocity=27)
Note(start=7.696875, end=7.927604, pitch=66, velocity=41)
Note(start=8.458333, end=8.737500, pitch=55, velocity=40)
Note(start=8.083333, end=8.744271, pitch=67, velocity=52)
Note(start=8.449479, end=8.745833, pitch=52, velocity=41)
Note(start=8.106250, end=8.774479, pitch=45, velocity=48)
Note(start=8.877083, end=9.108854, pitch=55, velocity=48)
Note(start=8.904687, end=9.126042, pitch=52, velocity=38)
Note(start=8.885417, end=9.134896, pitch=64, velocity=48)
Note(start=9.295833, end=9.905208, pitch=43, velocity=44)
Note(start=9.276563, end=9.915104, pitch=66, velocity=29)
Note(start=9.707292, end=9.926042, pitch=50, velocity=28)
Note(start=9.691146, end=9.931250, pitch=54, velocity=31)
Note(start=10.141667, end=10.270312, pitch=50, velocity=29)
Note(start=10.068229, end=10.317708, pitch=54, velocity=31)
Note(start=10.078125, end=10.336458, pitch=64, velocity=59)
Note(start=10.872917, end=11.087500, pitch=55, velocity=46)
Note(start=10.482812, end=11.093750, pitch=67, velocity=43)
Note(start=10.872917, end=11.114062, pitch=52, velocity=35)
Note(start=10.472396, end=11.127083, pitch=45, velocity=44)
Note(start=11.291146, end=11.483854, pitch=64, velocity=40)
Note(start=11.259896, end=11.488021, pitch=55, velocity=44)
Note(start=11.265104, end=11.522917, pitch=52, velocity=36)
Note(start=11.641667, end=12.118750, pitch=66, velocity=35)
Note(start=11.682292, end=12.189063, pitch=43, velocity=38)
Note(start=12.035937, end=12.236458, pitch=50, velocity=33)
Note(start=12.017188, end=12.239062, pitch=54, velocity=28)
Note(start=12.020833, end=12.242188, pitch=67, velocity=51)
Note(start=12.439583, end=12.586979, pitch=50, velocity=31)
Note(start=12.414583, end=12.607812, pitch=69, velocity=58)
Note(start=12.375521, end=12.613021, pitch=54, velocity=41)
Note(start=12.801042, end=13.388542, pitch=71, velocity=64)
Note(start=13.190104, end=13.431250, pitch=59, velocity=48)
Note(start=12.809896, end=13.433333, pitch=48, velocity=70)
Note(start=13.203646, end=13.456771, pitch=55, velocity=36)
Note(start=13.605208, end=13.807292, pitch=69, velocity=47)
Note(start=13.598958, end=13.823958, pitch=59, velocity=49)
Note(start=13.590104, end=13.866146, pitch=55, velocity=37)
Note(start=14.395312, end=14.593750, pitch=59, velocity=47)
Note(start=14.403646, end=14.613542, pitch=55, velocity=40)
Note(start=14.007812, end=14.957812, pitch=64, velocity=61)
Note(start=14.769271, end=14.986979, pitch=59, velocity=59)
Note(start=14.773958, end=14.989062, pitch=55, velocity=59)
Note(start=14.002604, end=14.990104, pitch=48, velocity=49)
Note(start=15.180208, end=15.766667, pitch=71, velocity=55)
Note(start=15.541146, end=15.783333, pitch=57, velocity=62)
Note(start=15.577604, end=15.796354, pitch=54, velocity=30)
Note(start=15.157813, end=15.814063, pitch=48, velocity=65)
Note(start=15.944792, end=16.161979, pitch=57, velocity=51)
Note(start=15.966146, end=16.174479, pitch=69, velocity=56)
Note(start=15.934896, end=16.234896, pitch=54, velocity=36)
Note(start=16.356771, end=16.680729, pitch=62, velocity=55)
Note(start=16.357813, end=16.808333, pitch=47, velocity=43)
Note(start=16.695312, end=16.909375, pitch=57, velocity=42)
Note(start=16.666146, end=16.919792, pitch=69, velocity=39)
Note(start=16.719792, end=16.927083, pitch=54, velocity=29)
Note(start=17.073958, end=17.274479, pitch=57, velocity=46)
Note(start=17.096354, end=17.290625, pitch=54, velocity=28)
Note(start=17.091667, end=17.293750, pitch=66, velocity=35)
Note(start=17.493229, end=18.089063, pitch=67, velocity=43)
Note(start=17.875521, end=18.092188, pitch=55, velocity=42)
Note(start=17.878646, end=18.102604, pitch=52, velocity=41)
Note(start=17.513021, end=18.123438, pitch=45, velocity=42)
Note(start=18.303125, end=18.499479, pitch=64, velocity=47)
Note(start=18.271875, end=18.510417, pitch=55, velocity=41)
Note(start=18.287500, end=18.529167, pitch=52, velocity=41)
Note(start=18.685417, end=19.307813, pitch=66, velocity=29)
Note(start=19.216667, end=19.319792, pitch=50, velocity=1)
Note(start=18.706771, end=19.325000, pitch=43, velocity=50)
Note(start=19.116146, end=19.335417, pitch=54, velocity=28)
Note(start=19.555208, end=19.663542, pitch=50, velocity=33)
Note(start=19.486979, end=19.666667, pitch=64, velocity=51)
Note(start=19.490104, end=19.692708, pitch=54, velocity=39)
Note(start=20.256771, end=20.489062, pitch=55, velocity=45)
Note(start=19.863542, end=20.493229, pitch=45, velocity=51)
Note(start=20.253125, end=20.497396, pitch=52, velocity=30)
Note(start=19.875521, end=20.500000, pitch=67, velocity=48)
Note(start=20.647396, end=21.124479, pitch=55, velocity=47)
Note(start=20.664062, end=21.126042, pitch=52, velocity=41)
Note(start=20.677604, end=21.281771, pitch=64, velocity=56)
Note(start=21.484896, end=22.255729, pitch=38, velocity=43)
Note(start=21.500521, end=22.373958, pitch=66, velocity=43)
Note(start=22.823958, end=23.621354, pitch=67, velocity=54)
Note(start=22.799479, end=23.627604, pitch=62, velocity=49)
Note(start=22.782812, end=23.710417, pitch=55, velocity=1)
Note(start=23.401563, end=24.258854, pitch=69, velocity=51)
Note(start=24.257292, end=25.110937, pitch=66, velocity=50)
Note(start=24.794792, end=25.259896, pitch=50, velocity=30)
Note(start=24.244271, end=25.270312, pitch=43, velocity=48)
Note(start=24.795833, end=25.276563, pitch=55, velocity=35)
Note(start=25.352083, end=25.554688, pitch=67, velocity=56)
Note(start=25.823438, end=26.903125, pitch=67, velocity=67)
Note(start=26.250521, end=26.960417, pitch=55, velocity=51)
Note(start=26.249479, end=26.969271, pitch=50, velocity=44)
Note(start=25.810417, end=27.007292, pitch=43, velocity=54)
Note(start=27.242188, end=28.038542, pitch=66, velocity=46)
Note(start=27.708854, end=28.330729, pitch=50, velocity=53)
Note(start=27.711458, end=28.382812, pitch=55, velocity=56)
Note(start=27.229167, end=28.471354, pitch=43, velocity=62)
Note(start=28.271875, end=28.478646, pitch=67, velocity=68)
Note(start=28.836979, end=29.711458, pitch=67, velocity=63)
Note(start=29.474479, end=29.847396, pitch=69, velocity=65)
Note(start=29.444271, end=29.978646, pitch=53, velocity=56)
Note(start=29.458854, end=29.986458, pitch=50, velocity=55)
Note(start=28.844792, end=30.788021, pitch=43, velocity=65)
Note(start=30.166667, end=30.860417, pitch=71, velocity=65)
Note(start=30.168229, end=30.986458, pitch=50, velocity=67)
Note(start=30.164583, end=30.990104, pitch=53, velocity=58)
Note(start=31.646875, end=32.363021, pitch=71, velocity=56)
Note(start=31.661458, end=32.386979, pitch=74, velocity=50)
Note(start=32.177083, end=32.404167, pitch=59, velocity=38)
Note(start=31.638021, end=32.414062, pitch=48, velocity=43)
Note(start=32.148438, end=32.422396, pitch=55, velocity=34)
Note(start=32.596354, end=32.871875, pitch=72, velocity=50)
Note(start=32.620312, end=32.910417, pitch=59, velocity=44)
Note(start=32.590625, end=32.913021, pitch=55, velocity=45)
Note(start=33.506250, end=33.750000, pitch=55, velocity=56)
Note(start=33.078125, end=33.752083, pitch=71, velocity=64)
Note(start=33.502083, end=33.752083, pitch=59, velocity=63)
Note(start=33.061458, end=33.755208, pitch=48, velocity=48)
Note(start=33.070312, end=33.787500, pitch=74, velocity=52)
Note(start=33.968750, end=34.239063, pitch=72, velocity=61)
Note(start=33.932292, end=34.278125, pitch=59, velocity=47)
Note(start=33.925000, end=34.282812, pitch=55, velocity=43)
Note(start=34.395313, end=35.010417, pitch=74, velocity=65)
Note(start=34.411979, end=35.021354, pitch=71, velocity=57)
Note(start=34.869271, end=35.118750, pitch=57, velocity=54)
Note(start=34.894792, end=35.136458, pitch=54, velocity=39)
