Note(start=1.556818, end=2.715909, pitch=80, velocity=80)
Note(start=1.579545, end=3.506818, pitch=65, velocity=80)
Note(start=1.579545, end=3.506818, pitch=68, velocity=80)
Note(start=4.690909, end=5.084091, pitch=66, velocity=80)
Note(start=4.713636, end=5.084091, pitch=69, velocity=80)
Note(start=5.572727, end=5.875000, pitch=73, velocity=80)
Note(start=5.550000, end=6.315909, pitch=77, velocity=80)
Note(start=8.197727, end=8.265909, pitch=65, velocity=80)
Note(start=8.197727, end=8.847727, pitch=68, velocity=80)
Note(start=8.265909, end=9.031818, pitch=70, velocity=80)
Note(start=8.938636, end=9.218182, pitch=72, velocity=80)
Note(start=8.938636, end=9.404545, pitch=75, velocity=80)
Note(start=8.243182, end=10.611364, pitch=73, velocity=80)
Note(start=10.704545, end=12.004545, pitch=73, velocity=80)
Note(start=11.888636, end=12.677273, pitch=68, velocity=80)
Note(start=12.886364, end=13.770455, pitch=68, velocity=80)
Note(start=11.865909, end=15.022727, pitch=72, velocity=80)
Note(start=15.511364, end=16.765909, pitch=72, velocity=80)
Note(start=16.138636, end=17.043182, pitch=75, velocity=80)
Note(start=16.765909, end=17.136364, pitch=70, velocity=80)
Note(start=17.345455, end=17.902273, pitch=63, velocity=80)
Note(start=17.322727, end=17.950000, pitch=70, velocity=80)
Note(start=18.018182, end=18.506818, pitch=63, velocity=80)
Note(start=18.040909, end=18.600000, pitch=58, velocity=80)
Note(start=18.040909, end=19.318182, pitch=61, velocity=80)
Note(start=17.368182, end=19.620455, pitch=68, velocity=80)
Note(start=20.154545, end=20.875000, pitch=60, velocity=80)
Note(start=20.131818, end=21.663636, pitch=57, velocity=80)
Note(start=22.779545, end=23.406818, pitch=66, velocity=80)
Note(start=23.452273, end=24.125000, pitch=70, velocity=80)
Note(start=24.031818, end=24.822727, pitch=58, velocity=80)
Note(start=20.086364, end=25.843182, pitch=65, velocity=80)
Note(start=26.075000, end=26.215909, pitch=68, velocity=80)
Note(start=24.031818, end=27.329545, pitch=63, velocity=80)
Note(start=26.029545, end=28.236364, pitch=61, velocity=80)
Note(start=28.188636, end=28.375000, pitch=68, velocity=80)
Note(start=28.281818, end=28.420455, pitch=63, velocity=80)
Note(start=28.188636, end=28.770455, pitch=72, velocity=80)
Note(start=28.188636, end=28.838636, pitch=56, velocity=80)
Note(start=28.143182, end=29.118182, pitch=60, velocity=80)
Note(start=28.954545, end=30.209091, pitch=44, velocity=80)
Note(start=28.236364, end=30.279545, pitch=51, velocity=80)
Note(start=30.231818, end=30.395455, pitch=37, velocity=80)
Note(start=31.740909, end=32.625000, pitch=65, velocity=80)
Note(start=30.488636, end=32.715909, pitch=53, velocity=80)
Note(start=31.718182, end=32.715909, pitch=80, velocity=80)
Note(start=30.440909, end=32.763636, pitch=56, velocity=80)
Note(start=32.809091, end=34.040909, pitch=73, velocity=80)
Note(start=32.763636, end=34.295455, pitch=77, velocity=80)
Note(start=34.690909, end=35.086364, pitch=70, velocity=80)
Note(start=34.620455, end=37.454545, pitch=75, velocity=80)
Note(start=37.940909, end=38.243182, pitch=41, velocity=80)
Note(start=37.988636, end=38.684091, pitch=49, velocity=80)
Note(start=38.243182, end=38.870455, pitch=56, velocity=80)
Note(start=38.243182, end=38.870455, pitch=68, velocity=80)
Note(start=38.243182, end=38.940909, pitch=61, velocity=80)
Note(start=38.243182, end=39.218182, pitch=53, velocity=80)
Note(start=38.963636, end=39.729545, pitch=63, velocity=80)
Note(start=39.195455, end=39.822727, pitch=56, velocity=80)
Note(start=38.893182, end=39.822727, pitch=75, velocity=80)
Note(start=39.172727, end=40.334091, pitch=61, velocity=80)
Note(start=39.172727, end=40.379545, pitch=80, velocity=80)
Note(start=39.288636, end=40.611364, pitch=73, velocity=80)
Note(start=40.472727, end=40.611364, pitch=77, velocity=80)
Note(start=40.565909, end=40.775000, pitch=49, velocity=80)
Note(start=39.240909, end=41.006818, pitch=68, velocity=80)
Note(start=40.518182, end=41.402273, pitch=56, velocity=80)
Note(start=40.565909, end=41.402273, pitch=61, velocity=80)
Note(start=40.518182, end=41.818182, pitch=65, velocity=80)
Note(start=41.959091, end=42.190909, pitch=66, velocity=80)
Note(start=41.959091, end=42.190909, pitch=70, velocity=80)
Note(start=41.959091, end=43.770455, pitch=58, velocity=80)
Note(start=41.888636, end=44.488636, pitch=75, velocity=80)
Note(start=43.770455, end=44.559091, pitch=73, velocity=80)
