pitch,note,start,end,duration
80,G#5,1.207438,236.355918,235.148481
66,F#4,4.388571,217.292336,212.903764
69,A4,4.411791,200.295329,195.883537
77,F5,5.224490,236.541678,231.317188
73,C#5,5.294150,240.465850,235.171701
70,A#4,7.964444,207.795374,199.830930
72,C5,8.637823,221.843447,213.205624
75,D#5,8.637823,198.159093,189.521270
63,D#4,17.740045,201.317007,183.576961
58,A#3,17.763265,204.683900,186.920635
68,G#4,18.274104,241.232109,222.958005
65,F4,19.736961,240.001451,220.264490
57,A3,19.876281,134.420317,114.544036
61,C#4,25.727710,242.207347,216.479637
60,C4,27.840726,221.843447,194.002721
56,G#3,27.910385,241.835828,213.925442
44,G#2,28.699864,241.789388,213.089524
53,F3,30.209161,241.882268,211.673107
46,A#2,49.133424,242.439546,193.306122
85,C#6,58.142766,234.753741,176.610975
78,F#5,58.583946,178.747211,120.163265
84,C6,58.607166,208.909932,150.302766
82,A#5,60.023583,179.211610,119.188027
39,D#2,82.848798,205.659138,122.810340
92,G#6,90.836463,228.948753,138.112290
41,F2,97.198730,215.992018,118.793288
71,B4,98.243628,225.744399,127.500771
52,E3,101.285442,227.439456,126.154014
79,G5,104.396916,105.163175,0.766259
67,G4,105.488254,107.369070,1.880816
55,G3,106.579592,107.369070,0.789478
42,F#2,110.921723,191.796825,80.875102
62,D4,114.335057,116.053333,1.718277
83,B5,119.397007,226.580317,107.183311
59,B3,119.629206,228.577234,108.948027
64,E4,119.814966,228.646893,108.831927
81,A5,124.923356,162.586122,37.662766
97,C#7,128.197370,128.638549,0.441179
51,D#3,137.787211,208.515193,70.727982
89,F6,157.268753,235.728980,78.460227
48,C3,173.127982,216.038458,42.910476
88,E6,226.975057,227.857415,0.882358
