Note(start=0.904545, end=2.322727, pitch=67, velocity=80)
Note(start=2.786364, end=3.552273, pitch=71, velocity=80)
Note(start=2.740909, end=3.575000, pitch=48, velocity=80)
Note(start=3.690909, end=3.925000, pitch=74, velocity=80)
Note(start=3.690909, end=4.295455, pitch=69, velocity=80)
Note(start=3.600000, end=5.202273, pitch=59, velocity=80)
Note(start=3.622727, end=5.456818, pitch=55, velocity=80)
Note(start=5.293182, end=5.875000, pitch=67, velocity=80)
Note(start=5.225000, end=5.897727, pitch=71, velocity=80)
Note(start=4.434091, end=6.036364, pitch=48, velocity=80)
Note(start=6.084091, end=6.222727, pitch=81, velocity=80)
Note(start=6.106818, end=6.663636, pitch=54, velocity=80)
Note(start=6.036364, end=6.663636, pitch=57, velocity=80)
Note(start=6.084091, end=6.663636, pitch=69, velocity=80)
Note(start=6.827273, end=7.129545, pitch=47, velocity=80)
Note(start=6.827273, end=7.152273, pitch=54, velocity=80)
Note(start=6.756818, end=7.245455, pitch=57, velocity=80)
Note(start=7.663636, end=8.336364, pitch=67, velocity=80)
Note(start=7.545455, end=8.359091, pitch=45, velocity=80)
Note(start=8.336364, end=9.031818, pitch=52, velocity=80)
Note(start=8.381818, end=9.031818, pitch=64, velocity=80)
Note(start=9.263636, end=9.613636, pitch=69, velocity=80)
Note(start=8.336364, end=9.729545, pitch=55, velocity=80)
Note(start=9.311364, end=9.822727, pitch=43, velocity=80)
Note(start=9.218182, end=9.915909, pitch=54, velocity=80)
Note(start=9.125000, end=10.147727, pitch=50, velocity=80)
Note(start=9.961364, end=10.331818, pitch=64, velocity=80)
Note(start=9.915909, end=10.611364, pitch=67, velocity=80)
Note(start=9.915909, end=10.704545, pitch=45, velocity=80)
Note(start=10.797727, end=11.215909, pitch=76, velocity=80)
Note(start=10.727273, end=11.400000, pitch=52, velocity=80)
Note(start=10.750000, end=11.400000, pitch=64, velocity=80)
Note(start=11.586364, end=11.772727, pitch=79, velocity=80)
